Squat,Bench,Deadlift,Total,Gender
425,335,495,1255,Male
415,315,545,1275,Male
195,135,255,585,Female
340,235,450,1025,Male
345,240,430,1015,Male
275,205,330,810,Male
280,150,315,745,Female
145,95,165,405,Female
405,295,500,1200,Male
210,145,265,620,Female
375,275,445,1095,Male
300,225,350,875,Male
157.5,110,210,477.5,Male
295,235,350,880,Male
215,0,250,465,Female
60,55,95,210,Female
248,135,320,703,Female
335,275,405,1015,Male
115,75,185,375,Female
135,90,135,360,Female
185,185,205,575,Male
340,215,415,970,Male
305,205,405,915,Male
255,205,315,775,Male
325,415,395,1135,Male
130,110,160,400,Male
335,225,425,985,Male
470,440,515,1425,Male
235,165,303,703,Female
462,0,0,462,Male
405,315,495,1215,Male
302,225,295,822,Male
255,225,295,775,Male
512,316,575,1403,Male
225,155,315,695,Male
495,295,535,1325,Male
361,225,414,1000,Male
295,225,365,885,Male
546,348,584,1478,Male
440,210,560,1210,Male
202,130,211,543,Male
295,205,345,845,Male
95,65,135,295,Female
449,405,500,1354,Male
455,380,555,1390,Male
425,225,390,1040,Male
155,100,230,485,Female
468,298,545,1311,Male
447,290,547,1284,Male
447,255,515,1217,Male
455,320,515,1290,Male
305,275,395,975,Male
525,345,555,1425,Male
200,110,245,555,Female
270.5,171.5,364,806,Female
350,275,405,1030,Male
305,255,320,880,Male
125,85,155,365,Female
485,355,515,1355,Male
601,416,663,1680,Male
415,240,485,1140,Male
130,80,210,420,Female
375,315,345,1035,Male
335,190,385,910,Male
185,110,225,520,Female
348,302,225,875,Male
505,315,480,1300,Male
295,205,425,925,Male
200,150,205,555,Male
20,290,245,555,Male
250,185,300,735,Male
385,255,405,1045,Male
212.5,157.5,237.5,607.5,Male
155,95,225,475,Female
335,225,405,965,Male
325,245,455,1025,Male
385,275,455,1115,Male
380,315,470,1165,Male
385,360,505,1250,Male
255,165,295,715,Male
135,65,145,345,Female
300,250,365,915,Male
180,140,210,530,Male
565,340,525,1430,Male
350,175,355,880,Male
325,265,440,1030,Male
365,235,405,1005,Male
375,275,365,1015,Male
365,305,495,1165,Male
205,145,205,555,Male
405,295,435,1135,Male
385,245,425,1055,Male
315,275,365,955,Male
287.5,170,270,727.5,Male
455,340,620,1415,Male
344,244,364,952,Male
